city_code,latitude,longitude
allex,44.766590378,4.915090897
alleyrac,44.894306765,3.98987195
alleyras,44.906555336,3.680215325
alleyrat,45.987848814,2.153881844
allez et cazeneuve,44.382408912,0.628605048
alliancelles,48.803583832,4.87364923
alliat,42.816304472,1.581326864
allibaudieres,48.586155215,4.122952875
allichamps,48.563785653,4.886579098
allier,43.179996096,0.125954174
allieres,43.038911091,1.364164827
alligny cosne,47.443657906,3.072595102
alligny en morvan,47.20977196,4.17346003
allineuc,48.311573307,-2.867064963
allinges,46.333872337,6.465349113
allogny,47.23431803,2.306399725
alloinay,46.152561634,-0.039084081
allondans,47.522238979,6.751923125
allondaz,45.711712162,6.371619949
allondrelle la malmaison,49.510917359,5.568760534
allonne,46.580574926,-0.381983618
allonnes,48.331871427,1.651907693
allons,43.979944656,6.590007837
allonville,49.937897356,2.367947823
allonzier la caille,45.999958375,6.104614427
allos,44.26188021,6.626633132
allouagne,50.532210322,2.50515355
alloue,46.020203116,0.525767135
allouis,47.17790877,2.240769225
allouville bellefosse,49.594335367,0.6658613360000001
alluy,47.033763377,3.632896076
alluyes,48.229095148,1.364562686
ally,45.167013463,2.355157578
almayrac,44.099234259,2.156031934
almeneches,48.69830809,0.126058474
almont les junies,44.600689761,2.31056563
alos,42.897888566,1.129211246
alos sibas abense,43.113422286,-0.8773303750000001
aloxe corton,47.068008045,4.86156952
alquines,50.733788991,1.993568178
alrance,44.13536857,2.6754921080000003
alsting,49.180352253,7.001389049
altagene,41.709341198,9.077320052
alteckendorf,48.794329904,7.596409519
altenach,47.601689849,7.108613025
altenheim,48.719953024,7.462341619
althen des paluds,44.005174387,4.958647652
altiani,42.21988286,9.278582603
altier,44.45942682,3.856773716
altillac,44.980807652,1.868822079
altkirch,47.621012196,7.244552802
altorf,48.524446839,7.53798293
altrippe,49.028102643,6.815985041
altviller,49.069159375,6.731599772
altwiller,48.915535174,6.980351609
aluze,46.852000824,4.690401561
alvignac,44.833583975,1.6855300510000002
alvimare,49.606943386,0.63238274
alzen,42.981477991,1.455583307
alzi,42.31255873,9.314211407
alzing,49.276565045,6.553389254
alzon,43.973904809,3.447073711
alzonne,43.265225733,2.174803002
amage,47.846082414,6.497632308
amagne,49.516074695,4.502827092
amagney,47.305243075,6.148758974
amailloux,46.749428823,-0.313637251
amance,47.79009351,6.053045602
amancey,47.031012477,6.076248417
amancy,46.073169717,6.330360006
amange,47.167494802,5.564771256
amanlis,47.999806826,-1.496122011
amanty,48.515476429,5.604950119
amanvillers,49.159937907,6.046301462
amanze,46.326471131,4.236350327
amarens,44.043629372,1.920804586
amathay vesigneux,47.023097865,6.195852083
amaye sur orne,49.091205048,-0.434631233
amaye sur seulles,49.082806873,-0.7187559680000001
amazy,47.383317688,3.560930747
ambacourt,48.351918261,6.139617189
ambares et lagrave,44.944318702,-0.500835162
ambax,43.368429934,0.936646828
ambazac,45.953447091,1.399473068
ambel,44.800072796,5.933301697
ambenay,48.840243242,0.7408847190000001
amberac,45.856242836,0.058930674
amberieu en bugey,45.961048852,5.372275427
amberieux d azergues,45.928617479,4.74036159
amberieux en dombes,45.99616357,4.911967138
ambernac,45.974715365,0.5568083340000001
amberre,46.758359932,0.153504367
ambert,45.555678137,3.756882059
ambes,45.011910591,-0.5490662
ambeyrac,44.494043263,1.935547446
ambialet,43.926612188,2.375769232
ambiegna,42.087881677,8.77334639
ambierle,46.106348726,3.891476492
ambievillers,47.996043428,6.140084042
ambillou,47.452077816,0.446281111
ambilly,46.196323189,6.224221286
amblainville,49.206978516,2.120010182
amblans et velotte,47.680835705,6.417873412
ambleny,49.376624509,3.183778907
ambleon,45.749886304,5.594584599
ambleteuse,50.811855704,1.621191096
ambleville,49.150476298,1.694631625
ambloy,47.709042218,0.969546737
ambly fleury,49.488795424,4.489050609
ambly sur meuse,49.022676248,5.452331066
amboise,47.391659896,1.000240215
ambon,47.557163,-2.541061818
ambonil,44.792178622,4.910072732
ambonnay,49.087299195,4.171915349
ambonville,48.313927373,5.010853706
ambrault,46.783804042,1.949277415
ambres,43.728624217,1.831538189
ambricourt,50.465978516,2.171348093
ambrief,49.321494733,3.403714795
ambrieres,48.629196609,4.829432778
ambrieres les vallees,48.423016547,-0.624319069
ambrines,50.308008115,2.466395589
ambronay,46.005690539,5.357748739
ambrugeat,45.532517093,2.085393166
ambrumesnil,49.858552892,0.985095361
ambrus,44.230183089,0.246089185
ambutrix,45.936683389,5.332446671
amecourt,49.37726881,1.733450056
amel sur l etang,49.257113525,5.6470179510000005
amelecourt,48.840575844,6.488082196
amelie les bains palalda,42.444016566,2.6832822160000003
amendeuix oneix,43.343817888,-1.042742301
amenoncourt,48.629897893,6.784271028
amenucourt,49.110115197,1.649566256
ames,50.535517273,2.415509988
amettes,50.527103346,2.394372392
ameugny,46.524199753,4.666928533
ameuvelle,47.948917734,5.9520309
amfreville,49.250289443,-0.242084641
amfreville la mi voie,49.404474795,1.124778896
amfreville les champs,49.312696905,1.321536936
amfreville sous les monts,49.30232703,1.267574638
amfreville st amand,49.218698918,0.926176229
amfreville sur iton,49.156750042,1.146870286
amfroipret,50.278406354,3.735533467
amiens,49.900410245,2.289706107
amifontaine,49.498637877,3.922881332
amigny,49.156655122,-1.185145361
amigny rouy,49.610759195,3.302789238
amillis,48.735332725,3.135102125
amilly,47.986510467,2.7825529380000003
amirat,43.896713676,6.812953852
ammerschwihr,48.119691705,7.259891792
amne,48.040547739,-0.043500279
amneville les thermes,49.255119947,6.133165215
amoncourt,47.734908873,6.061968876
amondans,47.071496119,6.035189509
amont et effreney,47.867837794,6.562998533
amorots succos,43.362668798,-1.124250607
amou,43.593342475,-0.744139434
ampilly le sec,47.810148413,4.503275679
ampilly les bordes,47.639055718,4.627205952
amplepuis,45.964730332,4.328411964
amplier,50.137232626,2.397179728
amponville,48.287862114,2.530549292
ampriani,42.254069427,9.356980634
ampuis,45.50340929,4.803076894
ampus,43.628565104,6.372011613
amure,46.256854006,-0.60867093
amy,49.641424914,2.832957078
anais,45.769826577,0.205536667
anan,43.352336076,0.811012747
ance feas,43.158178371,-0.693290335
anceaumeville,49.568937829,1.065459676
ancelle,44.619107267,6.229122478
ancemont,49.065116387,5.382814817
ancenis st gereon,47.379896051,-1.189491302
ancerville,49.033172292,6.398366058
ancerviller,48.533723288,6.836834385
ancey,47.333309642,4.822561184
anchamps,49.925011416,4.665777837
anche,47.13228055,0.307346276
anchenoncourt et chazel,47.861679507,6.115346898
ancienville,49.218878777,3.208246989
ancier,47.444244497,5.636250912
ancinnes,48.360275076,0.173500559
ancizan,42.899316821,0.283920163
ancone,44.579727269,4.720685488
ancourt,49.908641304,1.179266953
ancourteville sur hericourt,49.691298556,0.660585022
ancretieville st victor,49.654670779,0.967552488
ancretteville sur mer,49.788676267,0.5041166490000001
anctoville sur boscq,48.845884063,-1.5282228720000002
ancy,45.832347273,4.503836119
ancy dornot,49.06322802,6.045631255
ancy le franc,47.777872522,4.164372183
ancy le libre,47.805868485,4.145083896
andainville,49.891196923,1.784781039
andance,45.228575085,4.797395047
andancette,45.246625023,4.812717032
ande,49.227801894,1.244586862
andechy,49.715505557,2.706837892
andel,48.49410569,-2.551043716
andelain,49.641183256,3.36941838
andelaroche,46.250451343,3.745468978
andelarre,47.590108144,6.09041439
andelarrot,47.578196897,6.097966437
andelat,45.070233689,3.059413009
andelnans,47.603524434,6.865480412
andelot blancheville,48.235255168,5.285576441
andelot en montagne,46.859307701,5.9287358910000005
andelot morval,46.42394772,5.427398813
andelu,48.88775093,1.810612795
andernay,48.783883231,4.953053625
andernos les bains,44.7544456,-1.080648364
anderny,49.335455273,5.880607782
andert et condon,45.787194157,5.657799976
andeville,49.257482215,2.167502732
andillac,44.005098265,1.893601408
andilly,46.070473974,6.07059616
andilly en bassigny,47.928322058,5.520723908
andiran,44.102108535,0.285766416
andlau,48.390851515,7.384655289999999
andoins,43.300215691,-0.222940052
andolsheim,48.065201697,7.436505178
andon,43.776942181,6.82324955
andonville,48.273983808,2.023804273
andornay,47.658510131,6.598176979
andouille,48.177350193,-0.792482981
andouille neuville,48.297657345,-1.5958135100000002
andouque,44.008089131,2.30274435
andrein,43.399856609,-0.889582462
andres,50.866309354,1.918798821
andrest,43.315699572,0.06574095
andresy,48.981584282,2.04971852
andrezel,48.614335002,2.806723353
andrezieux boutheon,45.535161773,4.276857633
andryes,47.529837195,3.465551376
anduze,44.050761101,3.97434307
aneres,43.076407247,0.464619753
anet,48.852753435,1.442802993
angais,43.238820932,-0.247858813
ange,47.316434338,1.239726054
angeac champagne,45.614173661,-0.288688772
angeac charente,45.622747691,-0.082213685
angecourt,49.635019464,4.977168235
angeduc,45.47816645,-0.05494606
angely,47.560339843,4.011705628
angeot,47.695619442,7.006125002
angers,47.476657084,-0.556221025
angerville,49.244359534,-0.027793551
angerville bailleul,49.668364763,0.454011851
angerville l orcher,49.58627403,0.291583
angerville la campagne,48.988819076,1.157414318
angerville la martel,49.768538587,0.50199136
angervilliers,48.59080074,2.058514271
angeville,43.993875887,1.031296022
angevillers,49.387744996,6.043350715
angicourt,49.314942575,2.502944649
angiens,49.834019497,0.799571582
angirey,47.455496412,5.773438609
angivillers,49.488627299,2.499034375
anglade,45.211062829,-0.6379774920000001
anglards de salers,45.196815001,2.465337524
anglards de st flour,44.98938069,3.158487426
anglars,44.747738727,1.89897208
anglars juillac,44.486335023,1.208272181
anglars nozac,44.78295856,1.408377654
anglars st felix,44.416128359,2.238448993
anglefort,45.909091467,5.795056945
anglemont,48.376316162,6.668575238
angles,43.944118651,6.552080036
angles sur l anglin,46.69834001,0.8957036020000001
anglesqueville l esneval,49.629949855,0.235091872
anglesqueville la bras long,49.77858725,0.783324062
anglet,43.490658951,-1.515103364
angliers,46.206140183,-0.948797569
anglure,48.587830235,3.817415338
anglure sous dun,46.235885987,4.370073623
angluzelles et courcelles,48.665852678,3.905584189
angoisse,45.430361151,1.150554023
angomont,48.504908681,6.972020003
angos,43.198549847,0.162225025
angouleme,45.647372131,0.145140856
angoulins,46.10680996,-1.105718284
angoume,43.69940642,-1.142048034
angous,43.292107548,-0.812056286
angoustrine villeneuve escaldes,42.564597993,1.950448374
angres,50.410127198,2.751924573
angresse,43.658039615,-1.363898834
angrie,47.577599409,-0.968281976
anguilcourt le sart,49.694090787,3.427868534
angy,49.334940881,2.329001687
anhaux,43.146295958,-1.30074926
anhiers,50.404075435,3.155435452
aniane,43.683376049,3.592224268
aniche,50.330752803,3.255832923
anisy,49.25088322,-0.398345461
anizy le grand,49.516096173,3.453032228
anjeux,47.881927334,6.209512977
anjou,45.349046062,4.883047344
anjouin,47.201099179,1.807778523
anjoutey,47.701893142,6.927370297
anla,43.005489723,0.591553866
anlezy,46.966560312,3.498985277
anlhiac,45.320858243,1.121311307
annay,47.530833061,2.941767216
annay la cote,47.55241425,3.870683717
annay sur serein,47.728173034,3.963052966
annebault,49.249324503,0.054063623
annecy,45.901643496,6.118095198
annelles,49.431595173,4.414207264
annemasse,46.191081755,6.243481991
anneot,47.516887609,3.879294274
annepont,45.844827994,-0.607565036
annequin,50.503901209,2.720434276
annesse et beaulieu,45.183043482,0.5952701380000001
annet sur marne,48.922737777,2.708489113
anneux,50.156658346,3.125967493
anneville ambourville,49.450047451,0.8914694
anneville en saire,49.636695797,-1.284190851
anneville la prairie,48.200470525,5.087124631
anneville sur scie,49.839207997,1.092579699
anneyron,45.271642432,4.891900724
annezay,46.009975761,-0.6966073620000001
annezin,50.54020017,2.619838724
annoeullin,50.526085176,2.927412205
annoire,46.959137146,5.277080177
annois,49.719521853,3.176029474
annoisin chatelans,45.761128416,5.291798813
annoix,46.968944845,2.542704485
annonay,45.24633989,4.651027131
annonville,48.386378355,5.270500582
annot,43.962040954,6.663525802
annouville vilmesnil,49.680024992,0.431400968
annoux,47.62377829,4.05079391
annoville,48.961854522,-1.531760584
anor,49.995140762,4.118107159
anos,43.398626602,-0.289482447
anost,47.076785433,4.092404698
anould,48.184868516,6.940598622
anoux,49.273053416,5.86496548
anoye,43.39669813,-0.136386743
anquetierville,49.536094824,0.633130022
anrosey,47.84514622,5.660584552
ansac sur vienne,45.994429549,0.619779368
ansacq,49.350399881,2.3643605450000003
ansan,43.686574708,0.781419756
ansauville,48.812313657,5.823605937
ansauvillers,49.566936797,2.387648667
anse,45.942534182,4.708196729
anse bertrand,16.465346849,-61.462008256
ansignan,42.76262284,2.520677753
ansost,43.432867324,0.110706082
ansouis,43.736610005,5.472027536
anstaing,50.603632324,3.189114281
antagnac,44.355893441,-0.00127596
anterrieux,44.831118219,3.056663607
anteuil,47.37595213,6.5763163030000005
antezant la chapelle,45.99486088,-0.482863139
anthe,44.373398888,0.95537278
anthelupt,48.60266154,6.414593963
anthenay,49.139496813,3.734628893
antheny,49.844495624,4.304875712
antheuil,47.17635415,4.749018229
antheuil portes,49.500246859,2.733575159
anthien,47.308662574,3.724871048
anthon,45.784921648,5.15430482
anthy sur leman,46.353103956,6.427678428
antibes,43.587761948,7.105220285
antichan,42.991977926,0.583921757
antichan de frontignes,42.969893886,0.676237018
antignac,45.351968747,2.561853149
antigny,46.536027442,0.8388501420000001
antigny la ville,47.101459482,4.559930499
antilly,49.197683918,6.247776241
antin,43.332368085,0.290463502
antisanti,42.156532393,9.3835262
antist,43.119377652,0.134781728
antogny le tillac,46.968234095,0.555039729
antoigne,47.078632904,-0.131999208
antoingt,45.501058849,3.18459919
antonne et trigonant,45.229949765,0.832277228
antony,48.749986765,2.299028344
antran,46.876860335,0.53053187
antras,42.873136055,0.901076172
antrenas,44.588325071,3.254278276
antugnac,42.962204778,2.218972835
antully,46.892321888,4.402851225
anveville,49.699795091,0.748614368
anvin,50.450179428,2.257461917
any martin rieux,49.881643579,4.223934549
anzat le luguet,45.330504719,3.012135886
anzeling,49.2686108,6.462351546
anzeme,46.253729205,1.849735938
anzex,44.286127406,0.170592199
anzin,50.375299666,3.510977086
anzin st aubin,50.318112187,2.740405718
anzy le duc,46.323724417,4.071539393
aoste,45.59812037,5.613157279
aougny,49.187422221,3.72530404
aouste,49.795707673,4.313359522
aouste sur sye,44.706856708,5.057320177
aouze,48.384482916,5.866716837
apach,49.460153265,6.386136753
apatou,4.830256463,-54.269342801
apchat,45.37381113,3.147482543
apchon,45.244303271,2.697343487
apinac,45.392236674,3.994151071
appelle,43.580592538,1.954058893
appenai sous belleme,48.340171938,0.5639507490000001
appenans,47.451386696,6.568703362
appenwihr,48.025370541,7.452307401
appeville,49.326950901,-1.335330812
appeville annebault,49.322697439,0.650715441
appietto,42.00345914,8.733864943
appilly,49.582805317,3.121560564
appoigny,47.866327406,3.520314708
apprieu,45.397409939,5.496184698
appy,42.804212622,1.741572347
apremont,47.392573101,5.52963432
apremont la foret,48.844009401,5.621721761
apremont sur allier,46.911082462,3.018983821
aprey,47.770978141,5.19794575
apt,43.879017119,5.38838917
arabaux,42.980750474,1.6334671150000002
araches la frasse,46.029848904,6.661387684
aragnouet,42.784532384,0.178166523
aragon,43.298607525,2.30724607
aramits,43.13208455,-0.72450114
aramon,43.904355826,4.683236609
aranc,46.001293319,5.510946399
arancou,43.444445769,-1.053034353
arandas,45.890233979,5.498924738
arandon passins,45.703848733,5.436653229
araujuzon,43.349900967,-0.8300133120000001
araules,45.06520167,4.168745005
araux,43.340941705,-0.81873599
arbanats,44.671200701,-0.402391308
arbas,42.992381129,0.905652859
arbecey,47.735500248,5.931741131
arbellara,41.671484206,8.989411005000001
arbent,46.283607621,5.690755574
arbeost,42.979479452,-0.273974048
arberats sillegue,43.340649109,-0.991612485
arbigny,46.477598582,4.960100975
arbigny sous varennes,47.860719039,5.610340771
